,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
327,41039,21.1,43778,8,122.6,10.11
328,41043,19,44941,9.7,126.8,8.42
329,41051,18.2,53624,6.8,68.5,11.62
330,41067,10.9,63632,6.3,65.3,2.88
331,42003,13.5,51400,6.5,87.6,17.46
332,42007,11.3,49215,7.2,89.1,19.4
333,42011,14,55634,7.1,65.3,7.01
334,42017,6.4,73662,6.6,80.3,4.31
335,42019,9.4,58430,6.2,79.8,17.25
336,42043,13.8,53480,6.8,78.1,7.75
337,42045,10.9,64186,7.1,82.2,3.03
338,42049,17.9,44223,7.4,97.1,8.21
339,42051,19.2,37929,9.6,135.2,22.96
340,42069,14.8,44926,8.3,127.1,16.83
341,42071,10.5,56766,6,66.4,3.4
342,42073,13.8,43199,7.5,120.2,20.15
343,42077,14.2,53722,7.8,54.2,3.66
344,42079,16.1,44734,9.4,101.5,3.44
345,42089,12,55273,9.4,95.9,13.76
346,42091,6.8,77021,5.9,67.9,11.57
347,42095,10.1,59605,7.4,80.1,6.67
348,42101,26,36918,10.3,80.8,1.74
349,42107,13.6,41514,9.2,85.1,7.49
350,42125,10.9,54919,6.9,86.9,18.73
351,42129,10.7,51412,7,84.4,4.14
352,42133,10.8,56963,6.7,74.3,4.56
353,44003,8.1,63232,8.7,93.6,25.45
354,44005,10.1,67291,8.5,70.5,16.99
355,44007,18.6,47642,9.8,75.1,18.14
356,44009,9.6,69267,8.6,76.5,12.67
357,45003,18.3,43876,7.6,98.5,14.01
358,45015,15.7,50794,7,66.2,5.15
359,45019,17.4,51206,5.9,93.3,4.83
360,45045,16.2,49476,6.1,108.1,8.43
361,45073,16.8,42077,7.7,146.2,14.66
362,45077,18.7,42400,7.4,118.9,17.52
363,45079,18.6,47492,6.9,75.6,3.51
364,45083,18.7,42638,7.7,129.3,5.5
365,47001,19.7,42365,7.9,185.4,29.12
366,47005,21.3,35559,9.8,143.8,61.39
367,47009,14.9,45348,7,111.9,11.99
368,47011,18.6,42665,7.1,159.2,11.78
369,47013,23.9,32325,11.1,235.6,27.34
370,47021,13.3,52544,6.6,103.2,25.32
371,47037,17.8,47239,5.9,103.6,14.27
372,47043,15,44991,7.7,164.9,19.89
373,47065,16.9,47373,7.2,145.4,10.04
374,47071,24.1,36154,10.4,167.7,49.93
375,47093,16.3,49105,6.3,125.8,16.42
376,47125,14.9,51059,7.6,108.3,10.86
377,47141,26.7,35554,8,165.0,16.32
378,47145,18.1,42037,9,178.9,26.39
379,47149,12.3,57056,6.2,109.9,12.1
380,47157,21.6,45067,8.8,80.8,9.47
381,47165,11,56077,6.2,102.3,6.51
382,47187,5.5,93241,5.2,61.8,5.53
383,47189,10.8,59655,6.3,109.5,13.94
384,48027,15.1,50223,6.9,73.5,3.67
385,48029,17.4,49655,5.8,66.3,5.28
386,48039,11.8,66337,6.1,73.2,6.36
387,48085,7.9,81315,5.5,64.7,3.04
388,48113,19.5,47902,6.6,63.3,4.92
389,48121,8.9,75099,5.4,70.5,3.16
390,48141,22.7,39748,7.9,42.5,3.26
391,48157,8.9,87901,5.5,44.7,1.69
392,48167,14.2,60210,6.9,94.6,8.8
393,48201,18.4,52533,6.1,58.2,5.21
394,48245,22.7,42099,10.9,99.8,5.94
395,48303,17.8,46223,4.9,94.9,5.18
396,48339,11.8,69317,5.4,80.7,2.8
397,48355,18.2,48324,6.1,95.9,11.36
398,48423,16.8,47711,6.5,112.9,5.09
399,48439,15.2,56906,6,80.7,2.62
400,48453,15.9,60372,5,64.3,3.48
401,48479,30.6,38652,6.1,31.0,7.24
402,49005,14.2,49556,4,65.2,8.55
403,49011,8.2,70456,4.3,75.9,6.21
404,49035,12.7,61716,4.4,83.8,12.78
405,49045,9.1,59400,5.4,95.0,18.1
406,49049,13.8,60069,4.2,67.3,9.24
407,49053,15.4,50378,5.5,99.9,14.88
408,49057,13.3,54055,5.4,96.5,8.39
409,50007,10.1,62618,3.4,46.2,8.15
410,50021,13.5,45757,5.3,91.2,16.5
411,51041,8,67454,5.7,80.7,8.24
412,51047,10.1,63876,5.4,84.0,24.74
413,51059,6,110658,4.4,35.9,3.18
414,51069,7.9,68166,5.3,65.3,14.76
415,51085,5.6,77316,5.1,104.8,9.87
416,51087,11.3,60050,5.6,82.8,7.22
417,51107,3.8,117680,4.4,42.1,4.86
418,51137,10.4,60829,5.9,105.2,28.83
419,51153,7,93671,5.2,46.2,5.24
420,51177,7.7,73112,5.8,86.7,10.21
421,51179,6.4,93014,5.7,63.5,8.04
422,51195,19.3,37490,10.3,253.3,24.64
423,51510,8.8,85562,4.1,39.6,6.72
424,51550,9.6,66516,5.9,77.9,10.84
425,51650,15.6,45293,7.5,97.3,7.32
426,51700,17.5,47421,6.8,79.1,8.24
427,51710,23.3,42949,7,73.2,10.97
428,51740,20.9,43041,8.1,121.6,10.39
429,51760,25.4,39249,6.8,72.6,11.68
430,51770,23.3,37223,6.7,131.3,18.28
431,51810,9,62509,5.4,69.6,9.59
432,53005,13.2,59264,8.9,109.4,7.05
433,53009,17.5,46531,9.6,142.1,17.98
434,53011,12.6,57886,8.5,65.9,8.56
435,53015,15.9,48447,9.8,107.6,16.69
436,53033,12.4,71779,5.1,57.7,9.78
437,53035,11.4,62516,7.2,72.0,5.91
438,53053,14.1,57619,8.3,72.8,9.76
